Jonathan Cohen,jon.jpg,Director
Leigh Nystrom,leigh.jpg,Co-Director
Patrick Simen,pat.jpg,Postdoctoral Fellow
Brent Field,brent.jpg,Postdoctoral Fellow
Damon Tomlin,damon.jpg,Postdoctoral Fellow
Fuat Balci,fuat.jpg,Postdoctoral Fellow
Marieke van Vugt,marieke.jpg,Postdoctoral Fellow
Robert Wilson,bob.jpg,Graduate Student
Michael Todd,mike.jpg,Graduate Student
Adam Moore,adam.jpg,Graduate Student
John Myles White,john.jpg,Graduate Student
Sarah Getz,sarah.jpg,Graduate Student
Laura deSouza,laura.jpg,Research Assistant
Peter Foster,pete.jpg,Research Assistant
Deanna Barch,,Alumnus
Greg Berns,,Alumnus
Rafal Bogacz,,Alumnus
Matthew Botvinick,,Alumnus
Todd Braver,,Alumnus
Jason Chein,,Alumnus
Raymond Cho,,Alumnus
Kim D'Ardenne,,Alumnus
Gesine Dreisbach,,Alumnus
Ben Eppinger,,Alumnus
Steve Forman,,Alumnus
Mark Gilzenrat,,Alumnus
Randy Gobbel,,Alumnus
Joshua Greene,,Alumnus
Clay Holroyd,,Alumnus
Therese Huston,,Alumnus
James Kroger,,Alumnus
Agatha Lenartowicz,,Alumnus
Samuel McClure,,Alumnus
Sander Nieuwenhuis,,Alumnus
Yael Niv,,Alumnus
William Perlstein,,Alumnus
Jean-Baptiste Pochon,,Alumnus
Sean Polyn,,Alumnus
James Rilling,,Alumnus
Alan Sanfey,,Alumnus
Aaron Schurger,,Alumnus
Marius Usher,,Alumnus
Nick Yeung,,Alumnus
Angela Yu,,Alumnus
Gary Aston-Jones,,Collaborator
Matt Botvinick,,Collaborator
Todd Braver,,Collaborator
Cameron Carter,,Collaborator
Andy Conway,,Collaborator
Josh Gold,,Collaborator
Phil Holmes,,Collaborator
David Laibson,,Collaborator
Jay McClelland,,Collaborator
Sam McClure,,Collaborator
Read Montague,,Collaborator
Bill Newsome,,Collaborator
Yael Niv,,Collaborator
Ken Norman,,Collaborator
Randy O'Reilly,,Collaborator
Nick Yeung,,Collaborator
